CODIGO_BIP,RATE,FECHA_DETECCION
40070820,RS,2026-09-16
40070820,RS,2026-09-16
40081320,FI,2026-09-16
40009278,FI,2026-09-16
30363445,FI,2026-09-16
30103935,RS,2026-09-16
20188580,FI,2026-09-16
30249672,FI,2026-09-16
30249672,FI,2026-09-16
40027785,RS,2026-09-16
40069823,RS,2026-09-16
40027622,RS,2026-09-16
30379323,RS,2026-09-16
40052510,RS,2026-09-16
20177920,RS,2026-09-16
40049912,AD,2026-09-16
40043617,RS,2026-09-16
40050036,AD,2026-09-16
40058194,RS,2026-09-16
40058194,RS,2026-09-16
30458837,OT,2026-09-16
40070076,AD,2026-09-16
40053519,RS,2026-09-16
50001930,RS,2026-09-16
40060312,RS,2026-09-16
40002369,FI,2026-09-16
40027936,FI,2026-09-16
30126632,RS,2026-09-16
40071903,OT,2026-09-16
40057402,RS,2026-09-16
40080436,RS,2026-09-16
40074254,FI,2026-09-16
30038126,RS,2026-09-16
40021834,FI,2026-09-16
40005756,FI,2026-09-16
40023967,RS,2026-09-16
30076636,RS,2026-09-16
40048728,RS,2026-09-16
30085715,RS,2026-09-16
40056966,RS,2026-09-16
40056966,RS,2026-09-16
30100107,RS,2026-09-16
30482321,RS,2026-09-16
40000118,RS,2026-09-16
40015334,RS,2026-09-16
30135321,RS,2026-09-16
30044383,RS,2026-09-16
30369628,FI,2026-09-16
30156972,FI,2026-09-16
40008481,RS,2026-09-16
30080831,RS,2026-09-16
40012482,RS,2026-09-16
40037803,RS,2026-09-16
30100340,RS,2026-09-16
40027574,RS,2026-09-16
30221173,RS,2026-09-16
30221173,RS,2026-09-16
30221173,RS,2026-09-16
30082374,RS,2026-09-16
30483236,RS,2026-09-16
30483558,RS,2026-09-16
40029783,RS,2026-09-16
40079332,OT,2026-09-16
40041291,RS,2026-09-16
40025549,RS,2026-09-16
40038944,RS,2026-09-16
40068327,RS,2026-09-16
40055643,FI,2026-09-16
40077382,RS,2026-09-16
40077382,RS,2026-09-16
40061161,RS,2026-09-16
30394039,RS,2026-09-16
40055626,FI,2026-09-16
40051084,FI,2026-09-16
40052755,FI,2026-09-16
30464197,RS,2026-09-16
30125055,RS,2026-09-16
30444722,RS,2026-09-16
30120122,RS,2026-09-16
30120194,RS,2026-09-16
40073788,OT,2026-09-16
40048198,OT,2026-09-16
20189211,OT,2026-09-16
30201772,RS,2026-09-16
40077604,RE,2026-09-16
40077604,RE,2026-09-16
20155699,OT,2026-09-16
30057859,OT,2026-09-16
40039068,FI,2026-09-16
40076746,OT,2026-09-16
40074007,FI,2026-09-16
30377222,RS,2026-09-16
30377222,RS,2026-09-16
30092858,FI,2026-09-16
40037419,RS,2026-09-16
40016425,RS,2026-09-16
30482963,RS,2026-09-16
40061306,RS,2026-09-16
40061306,RS,2026-09-16
40021667,RS,2026-09-16
40063338,OT,2026-09-16
40056699,RS,2026-09-16
30468944,RS,2026-09-16
30468944,RS,2026-09-16
30095104,RS,2026-09-16
50001834,FI,2026-09-16
20156148,FI,2026-09-16
40026916,RS,2026-09-16
30485932,RS,2026-09-16
30485932,RS,2026-09-16
40063271,RS,2026-09-16
30135685,RS,2026-09-16
40059379,RS,2026-09-16
40018519,RS,2026-09-16
40040955,RS,2026-09-16
30104345,RS,2026-09-16
40005336,RS,2026-09-16
40005336,RS,2026-09-16
40005336,RS,2026-09-16
40030969,RS,2026-09-16
40030148,RS,2026-09-16
40030148,RS,2026-09-16
40027544,RS,2026-09-16
30362077,RS,2026-09-16
30362077,RS,2026-09-16
40061058,RS,2026-09-16
40061058,RS,2026-09-16
40058642,RS,2026-09-16
40051702,RS,2026-09-16
40051702,RS,2026-09-16
40063327,AD,2026-09-16
30107046,RS,2026-09-16
30467604,FI,2026-09-16
40075654,FI,2026-09-16
30446872,RS,2026-09-16
40068308,RS,2026-09-16
40061749,RS,2026-09-16
30388735,RS,2026-09-16
30479236,FI,2026-09-16
30480901,RS,2026-09-16
40034171,RS,2026-09-16
40055438,OT,2026-09-16
20189205,OT,2026-09-16
40044429,FI,2026-09-16
30187622,RS,2026-09-16
40039879,RS,2026-09-16
30072828,RS,2026-09-16
40000086,RS,2026-09-16
40021530,RS,2026-09-16
40054263,OT,2026-09-16
40068635,RS,2026-09-16
40035350,RS,2026-09-16
30352173,RS,2026-09-16
30327173,RS,2026-09-16
30080600,RS,2026-09-16
40059806,FI,2026-09-16
40075149,OT,2026-09-16
40051592,RS,2026-09-16
40070145,AD,2026-09-16
40050900,FI,2026-09-16
40024422,RS,2026-09-16
30460846,FI,2026-09-16
40021418,RS,2026-09-16
30363439,FI,2026-09-16
40017277,RS,2026-09-16
40059148,AD,2026-09-16
40051415,RS,2026-09-16
30137818,RS,2026-09-16
30137818,RS,2026-09-16
40059660,AD,2026-09-16
30483167,RS,2026-09-16
40015848,RE,2026-09-16
40018977,OT,2026-09-16
40074760,RS,2026-09-16
40064630,AD,2026-09-16
40074214,OT,2026-09-16
30097841,RS,2026-09-16
40032131,RS,2026-09-16
30119003,RS,2026-09-16
30119003,RS,2026-09-16
30483649,RS,2026-09-16
30483649,RS,2026-09-16
20178141,OT,2026-09-16
40068458,FI,2026-09-16
30119015,RS,2026-09-16
30119015,RS,2026-09-16
30433475,RS,2026-09-16
40050822,RS,2026-09-16
40056687,RS,2026-09-16
40056687,RS,2026-09-16
30112007,FI,2026-09-16
40059968,RS,2026-09-16
30486614,RS,2026-09-16
40009707,RS,2026-09-16
40009707,RS,2026-09-16
40031493,RS,2026-09-16
40031256,FI,2026-09-16
40048295,RS,2026-09-16
30376489,RS,2026-09-16
30376489,RS,2026-09-16
40059860,RS,2026-09-16
30112980,RS,2026-09-16
40069146,RS,2026-09-16
30002745,RS,2026-09-16
40020186,RS,2026-09-16
40019910,RS,2026-09-16
40006966,FI,2026-09-16
30410576,RS,2026-09-16
